region,year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
1,1988,12220.19505198996,3.8593469456794525,0.5432849629616455,0.5337464221943373,0.5376186226245858,0.5805005516314087,1.0033986189673743,0.755684261384012,0.8667485312656781
1,1990,14613.544680851064,3.930702356737601,0.5534901637588803,0.6123571007092239,0.5290703177304904,0.5699888360283603,1.0194060902127722,0.7393025757092225,0.8326192172340348
1,1992,16292.466736694678,4.021124210889356,0.6040537876400653,0.6270230484243714,0.5553133621148449,0.589560845238089,1.0527216475490337,0.7609667914915924,0.8419889189425754
1,1994,18005.267924528303,4.15778894336193,0.6319831261749586,0.6610582757118387,0.577150282024014,0.6386985489879906,1.0781285355060126,0.7773327564322476,0.917279575162946
1,1996,21144.91457113331,3.9631610911470863,0.5743317976575935,0.586293231002413,0.4967663183603158,0.5390423259042381,1.0491386156389928,0.6749395994144051,0.8342440177402581
1,1998,23311.754539106147,3.94476218111034,0.5976223660963614,0.5946302653282104,0.5066686192737424,0.5353838825418966,1.060576316724868,0.6802531415851938,0.8243761096019457
1,2000,28435.671689989234,3.8889913159310994,0.5867123867958355,0.5866340257983469,0.46042607560100407,0.4950328744886904,1.0547802612127724,0.6400740344815233,0.7908428734481451
1,2002,30327.66519499632,4.039306038079436,0.6427699211184742,0.6084713196100042,0.5161800107799831,0.525109810559229,1.0994161809418572,0.6785456724797637,0.8385702237674674
1,2004,31757.790059347182,4.1816630010014535,0.7031338084198826,0.6551206857195802,0.5638870474035557,0.5732967912091955,1.1354092529673576,0.7112349781528189,0.8922509957344203
1,2006,34521.61771300448,4.257140758071733,0.7226532561659188,0.6761899853886384,0.6095003510089687,0.5930608929745902,1.1520328498131496,0.7290233142750456,0.895756307810164
1,2008,36269.39135174418,4.381988721329936,0.7599203058866282,0.71518514709302,0.6474300771802332,0.6327236556686127,1.194171967223838,0.7617318131540692,0.9200990364462241
1,2010,37150.00971962617,4.462594718953273,0.7813080520747617,0.7440447810841095,0.6610053759626161,0.66726589293459,1.2057052093084126,0.7647529697196243,0.9596339556635513
1,2012,38795.56616800921,4.616864927733,0.8457458539317203,0.8162132537015692,0.7005820090141883,0.7269464069044972,1.258824104411195,0.8051181245109262,0.9985330322976528
1,2014,40104.06737588652,4.748447965799843,0.8913624980299459,0.8638428917257628,0.7515176412923507,0.7691282358156103,1.2988302580772213,0.8411721910953386,1.05127042951142
1,2016,40410.02865101473,4.847162881615617,0.9671957101074419,0.878327399602064,0.7558295298845896,0.779382624114612,1.312590801989654,0.8317986212494994,1.0530370367687987
2,1988,15478.74213836478,3.6833239547955743,0.5513561224842768,0.5118079680031405,0.5310210796383616,0.5549182283804984,0.9353180750786141,0.7066158646226457,0.8356828827830175
2,1990,19493.999188969992,3.6194004553933405,0.5283760825628553,0.5933549203568522,0.48598603730737927,0.4933878077858866,0.9168147685320321,0.675870829359289,0.782057698621249
2,1992,21887.54464285714,3.756079667613638,0.5950092922889627,0.6227733507305195,0.5080331547077914,0.5424684681006503,0.9575498665584407,0.6939709395292218,0.8103005479707772
2,1994,23978.542188805346,3.9268940998329183,0.6172998323308264,0.6405140882205518,0.5298912309941529,0.5962331778613221,0.9925294115288209,0.7197233304928972,0.8833345745196304
2,1996,26797.564124783363,3.920933596793765,0.6318257411611775,0.6405401411611794,0.5129501010398617,0.5740734590121347,0.9823264285095311,0.6920444413344866,0.8594435876083146
2,1998,29525.65293040293,3.878108821428565,0.6333071995421218,0.6222468296703295,0.518358431959707,0.5480666532051294,0.9923822874542108,0.6701514272893748,0.8386508668498097
2,2000,35203.99333333333,3.7361878657142835,0.6100947768571415,0.6083100937142848,0.4615940322857161,0.5024264082857154,0.9800461489523777,0.6156054875238085,0.7923965267618991
2,2002,39587.438613861385,3.8610001680198045,0.6788750684158418,0.627027505148515,0.4948284260396042,0.5211551768316831,1.013809146138609,0.641736212673267,0.8221823744554416
2,2004,41979.311178247735,3.8881116094662564,0.6723356972809664,0.6181317050352467,0.518582383081571,0.5193612449144008,1.0151930039274852,0.6374510939577042,0.8436123136958703
2,2006,43389.93969849246,3.979784808040203,0.6975904275376889,0.6410998126633168,0.542236995879398,0.5322149521608053,1.043616672361804,0.6584806729648257,0.8534899489447257
2,2008,45838.03497942387,4.151334476646092,0.7468463433127593,0.6985466812757217,0.5910385990740749,0.6082985082304535,1.0940404259259204,0.7041834587448569,0.8935656842592605
2,2010,48079.32063492064,4.176270312910049,0.7419873476190496,0.7032063147089951,0.5933850980952382,0.5902878312169315,1.07993904455026,0.7064117462433863,0.9166085092063497
2,2012,51290.68101545254,4.266118778366453,0.7727446890728503,0.7316869721854309,0.6078784962472411,0.616016069977927,1.1188668231788048,0.7104594907284776,0.9336318681015494
2,2014,52604.17056074766,4.470325884813086,0.8412837107476665,0.8153448454439253,0.6899362253504662,0.7056812481308421,1.1739479116822396,0.7725226056074775,0.9996467589953298
2,2016,53153.441247002396,4.501933895923256,0.901840780455638,0.81817277002398,0.6729750701438836,0.684823433573141,1.198140890887289,0.7447624834532366,0.9704271473621122
3,1988,13446.757109004739,3.7738294905212997,0.5467443635663514,0.5359530789099467,0.5191049310426508,0.5611509680094712,0.945009043364924,0.7256417480450285,0.8572870258293799
3,1990,16398.690601284296,3.7515020686514946,0.5497457368359617,0.6311523279042602,0.4975909102159928,0.5087259342673617,0.9298301743724386,0.7040395431990698,0.8025715478108532
