female,year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
0,1988,16136.9926067908,3.559360957940867,0.4372271414567467,0.5049308923603542,0.4660695390197049,0.5287941872672508,0.9150500229463359,0.6487786429627624,0.8175467170043733
0,1990,20145.20136425648,3.5135415527694644,0.4210924403547189,0.5614284067121471,0.42553392043655636,0.4711021385538791,0.8982614994815976,0.6093936885675318,0.7619272805456968
0,1992,22412.98326585695,3.6466894961403664,0.48734034264508375,0.5786018673144422,0.46493301956815014,0.5180734424291427,0.9310736453441436,0.6418792921727355,0.7810631759784077
0,1994,24416.507258064517,3.8345149439516204,0.510879401827958,0.619896125645166,0.49264385623655904,0.5612269745967693,0.9882339853763591,0.6609575598924728,0.8603544235752649
0,1996,29050.19961612284,3.6576842320811513,0.47132050844529544,0.5706113775431871,0.41865491516314735,0.4900074786125588,0.9471305507266229,0.588859066986568,0.7979168059775054
0,1998,32656.721483158788,3.6333677797622435,0.4881546382677534,0.5778438418341335,0.4374057387489382,0.4697870747806373,0.9621129900934094,0.5908776322388887,0.7830986119445078
0,2000,39667.799823633155,3.580456230305687,0.48006575099940996,0.5754515108465587,0.38901743109935333,0.4291486075837674,0.9597763952968805,0.5486981216049395,0.7591448800705336
0,2002,43523.1355211182,3.7059667411728605,0.5401617017319987,0.5774439639927049,0.440316362777269,0.4591038191734985,1.0003800004557755,0.5752763415071417,0.7969672358857378
0,2004,45398.60858743,3.8008331106098003,0.5801458675171131,0.608026873210948,0.47498234950217455,0.49457831789047696,1.02492653540759,0.5975330286558805,0.8271117675482241
0,2006,47577.144310823314,3.9508742372186023,0.6223240294172047,0.6497083079864326,0.5362346872340426,0.5417955802035167,1.068249901202586,0.6216774386370723,0.8563051571692895
0,2008,50022.56977452773,4.101067454905533,0.6646469104204782,0.6921689557586804,0.5846770022242548,0.5894722471054309,1.116375562218158,0.6555758571602699,0.8950430784582563
0,2010,50344.145505971086,4.195364678126967,0.6922252171590124,0.7078960792897525,0.6052181354494018,0.6121900717787659,1.126664124732872,0.6648477584537997,0.932772088466372
0,2012,54653.57750163505,4.305433271451908,0.7475255955853493,0.7644054493459718,0.6309387264551953,0.6535502237410172,1.1765137042511375,0.690638439077822,0.9544838121975064
0,2014,57048.74711864407,4.457020431762709,0.7935117472542395,0.8211293034915185,0.6772905781016898,0.7042481010169551,1.223179305389826,0.7379781473220212,1.0027341511186334
0,2016,57334.472588480225,4.540373086884121,0.8469747770298413,0.8364868107911119,0.6859075399028366,0.709517961415691,1.2357891703678001,0.722986326370572,1.0016695961832016
1,1988,10289.792666115247,4.128490481389617,0.6846205951475175,0.5781341055693467,0.6366751787703256,0.6550221643782768,1.0463637720981627,0.834476509677419,0.9206589090432791
1,1990,12319.128155872668,4.203563258205288,0.7035302285949656,0.6922391442645468,0.6309743636388494,0.6438077435510395,1.0582604865532526,0.8257812917398455,0.8904628809001065
1,1992,14161.096179897047,4.284537984340298,0.744995893037123,0.7033434429964794,0.6383627644540751,0.6597163748577526,1.093875989704707,0.8453104688160274,0.9010191979409388
1,1994,15079.307965084561,4.3888645590561985,0.7628368957446793,0.7223605339880018,0.6571918396344819,0.7028891285051708,1.1027268512002304,0.8675643948445108,0.9546369388979803
1,1996,17431.432454923717,4.21665434194175,0.7177998992232981,0.6620728465742096,0.5957404701525661,0.6168217962274567,1.068179420110956,0.76897947001387,0.8788772894590757
1,1998,18952.246071829406,4.150133458389456,0.7155947003086365,0.6292690101290689,0.5711696251964095,0.5933739085016785,1.0679104920314313,0.7430636979797999,0.8566879778058203
1,2000,22024.81275480489,4.132219125771661,0.7251059814210818,0.6379786330227142,0.5490400044554432,0.5798518364589316,1.0719437202679052,0.7311265271112417,0.8435788481653865
1,2002,23887.47554347826,4.173691616696812,0.752039545954112,0.62822083109903,0.5595010707729446,0.5686279243659353,1.0862870686594024,0.7347238099335738,0.8587840471618252
1,2004,26020.112845138054,4.265705572508962,0.7807005840036062,0.6609502662364913,0.5960764189975923,0.5994535771908739,1.1097092705882288,0.7510815664465742,0.898586172358943
1,2006,27327.43476932478,4.35974172080657,0.8111013326917211,0.6929042674915974,0.6368052311946215,0.6200003333944426,1.134048362144815,0.7832677553009524,0.9061790274671565
1,2008,29426.107325896894,4.41710866852577,0.821972200693399,0.7059807203497103,0.6556600264998484,0.6365817039192112,1.1600556130238184,0.7950708417545945,0.9134185776002409
1,2010,30521.65388184349,4.48966503362203,0.8398926368388431,0.7421856847819313,0.6723238995978937,0.673631776306847,1.1767948715743928,0.8037669183730212,0.9599743097742016
1,2012,30797.521780604133,4.650025906899831,0.8976638217170001,0.8044777222257457,0.7098142488712182,0.7281845951669379,1.229592410969792,0.8427452745945839,1.000028004228927
1,2014,30669.193040052527,4.785898041135923,0.9402135216677548,0.8504902445830509,0.7620098144123415,0.7790535520354636,1.2687345821733356,0.8742873342416094,1.048469509914629
1,2016,33228.61582299698,4.853151059671494,1.0294295280925194,0.8515995603419281,0.7518791404626117,0.7747597772712108,1.2775682173985943,0.8481880204156814,1.035449284378136
