race,year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
1,1988,15030.513425549227,3.643033260130212,0.4922258055872107,0.5131267526986752,0.48077994122591833,0.5255391966639558,0.9817606905885605,0.659360382858693,0.818556240764842
1,1990,18553.654251012147,3.6797515512280947,0.4982717572469815,0.6124682836437286,0.468275662645066,0.49940911198379884,0.9839118460998807,0.6381254791632933,0.7841477065317084
1,1992,21109.930325680725,3.778946021249344,0.5447294450080198,0.6186182696743224,0.4881255782968491,0.5382807688467631,1.004457622023507,0.6584950720768731,0.7975686603043267
1,1994,22930.3564171123,3.893482678609624,0.5613329059893061,0.640109313823535,0.5076338333155095,0.5695683857486562,1.0257688798128497,0.6722571061497316,0.8537106043850216
1,1996,26960.28956687551,3.7537650837918717,0.5320392631163147,0.600659390738221,0.4533873342141087,0.5027961363661115,0.9988613212476186,0.5925954335331028,0.7909417752655851
1,1998,29976.22095924591,3.7310960805378466,0.5486986600498935,0.5919563755198224,0.4538273030773494,0.4890299190462952,1.0085711917105675,0.5917999197393957,0.7774593755475329
1,2000,35500.86770204199,3.7409875284727914,0.5643678495829703,0.6116973048029892,0.43301608052918994,0.4777369217141135,1.0218899093759002,0.5741126957434588,0.782929402387099
1,2002,38993.68894145476,3.81143586008275,0.6100781327321152,0.5975808816380808,0.4706558430810149,0.4802812548491951,1.0473282206682248,0.5907320653163814,0.7989307693080897
1,2004,41640.71879699248,3.8870673637292947,0.6319025464060168,0.6114907116992426,0.49576131362405584,0.5077220046616505,1.070742801383452,0.6080570167218036,0.8311653565112765
1,2006,44225.12844036697,3.974029945443405,0.6503226382262983,0.6359512615902132,0.5309932920183482,0.531203126850157,1.0928258133027495,0.6194203151682046,0.8344143744036686
1,2008,47134.25234493192,4.067641305688339,0.6764488105900143,0.6587047114674703,0.5590621778819991,0.5583140198184631,1.1323224626626325,0.6408080632677761,0.8604379630559792
1,2010,48790.54421346571,4.128897733447098,0.6941465431275158,0.6752040933291944,0.570003560874961,0.5696732618057821,1.1365284128141513,0.6417117242941318,0.8971684777536414
1,2012,51895.503067484664,4.237901397190823,0.7394546447852736,0.717364507135933,0.5939078184694828,0.6078512106877733,1.185324606651596,0.6621015110429407,0.9194980482725146
1,2014,54722.05911991938,4.35466171501511,0.7773518178031589,0.7585974797111139,0.62891229475982,0.6517915265367895,1.2220040738663032,0.6910840269062701,0.9591496375209834
1,2016,54932.66746329806,4.436635561181308,0.847856754796857,0.7687837406623362,0.6383542707408564,0.6560218868897322,1.2368930260157056,0.6731045534312022,0.9532792708774237
2,1988,12428.312364425163,3.901390393709303,0.590511600289228,0.5270675259580576,0.5710352536514787,0.6182151057845188,0.9814082602313771,0.7590724528561148,0.8779413946493109
2,1990,14997.830014224752,3.993834620768134,0.6200692633712667,0.6314250285206259,0.561567133712658,0.6211203631578898,0.9973693798008487,0.7531749596728329,0.8546277071123726
2,1992,17030.189847009737,4.039326030806679,0.6609793784422834,0.6338573829624476,0.5696101066759375,0.6104334174547978,1.0230951963143224,0.7883079765646747,0.8420550892211369
2,1994,18303.954225352114,4.1892998103521215,0.6699542678169023,0.6662109661971837,0.5853987459154942,0.6585459503521137,1.0503354347887328,0.7912103956338016,0.9253905096478838
