edulevel,year,wages,precarity_age,pes1_age,pes2_age,pes3_age,pes4_age,pes5_age,pes6_age,pes7_age
1,1988,7884.208333333333,5.211285520833334,0.8812864770833331,0.7719549875000004,0.8641741666666664,1.0382767625000002,1.2146522291666664,1.1366477395833332,1.1792932583333335
1,1990,8459.591836734693,5.176842897959184,0.89496747755102,0.7418754163265304,0.7713244306122448,1.0074868244897963,1.1608068265306124,1.1611564122448979,1.1535113040816323
1,1992,8894.897959183674,5.474539918367345,0.9687484775510204,0.8332560285714286,0.8719253632653063,1.0198267163265307,1.2567880673469394,1.1683253653061223,1.1924046285714285
1,1994,9762.5,5.311023590909091,1.0203799886363638,0.9091780022727274,0.8272630477272727,1.0320746727272723,1.2535025227272725,1.0785895159090908,1.2354903772727273
1,1996,11622.5,5.142684,0.917364934090909,0.784897981818182,0.7424007477272728,0.8843341295454542,1.224115893181818,1.0148307499999998,1.2111032045454548
1,1998,12193.478260869566,5.218976999999999,0.9081972804347825,0.7919597152173913,0.8452994130434786,0.9212943369565219,1.208788806521739,1.016850593478261,1.2222389543478263
1,2000,13497.8,4.937896875,0.9093799075,0.7162230949999999,0.6525185800000003,0.8130473374999999,1.1978575850000002,0.8937131299999999,1.1051572250000001
1,2002,11932.285714285714,5.232260342857144,0.8956778771428571,0.6732611457142856,0.6903051800000002,0.9303609514285712,1.2334770457142852,1.0175236514285715,1.1630830028571426
1,2004,15923.057142857142,4.953395714285715,0.9297984885714283,0.6240318028571428,0.5599712771428573,0.7814375942857144,1.137451237142857,0.9871445057142858,1.1335607771428569
1,2006,14344.444444444445,5.389546527777778,1.0500055750000004,0.8626949472222223,0.8411724138888892,0.9206972722222222,1.324363108333333,1.1486524277777777,1.2419606972222224
1,2008,17354.090909090908,5.671382121212122,1.182128521212121,0.9530482000000003,0.8759260000000001,1.0879135212121211,1.3491637696969692,1.2458236060606065,1.3410149606060606
1,2010,19246.125,4.864023874999999,0.8896860968749999,0.5978307562500002,0.5015216656249999,0.739145996875,1.1043525593749999,0.9011073437500002,1.06787965
1,2012,16320.689655172413,5.652643172413794,1.1980341931034486,0.9590454931034481,0.9045073655172414,1.0962554068965518,1.3750291068965521,1.127053096551724,1.268580675862069
1,2014,14961.379310344828,5.7089127931034485,1.0927940241379313,0.9651452275862068,0.8747694241379309,1.0994726172413791,1.3599487551724134,1.0825921931034481,1.303156103448276
1,2016,16565.48148148148,5.647608555555556,1.1288926000000001,0.9293343814814816,0.8395251037037037,1.046515285185185,1.3161373962962966,1.11605717037037,1.2711467888888888
2,1988,11273.626647834275,4.158866472999105,0.6397537839924783,0.5806058904661073,0.6191734197740087,0.6795409454331499,1.0078927412194048,0.8475812076742,0.948160333639353
2,1990,13298.968734968736,4.201130998027912,0.6545539035834675,0.6588173083213092,0.6009941367965281,0.6540567205627711,1.0028634262626452,0.8392141325637285,0.9089575240019199
2,1992,14255.441262135922,4.338030834029135,0.7162938681310739,0.6760301120145666,0.63832110912621,0.6975754488106709,1.0437189137378806,0.8723025401456164,0.9301966296116516
2,1994,15102.83671952428,4.489609923761152,0.7315327143458855,0.7055619455649201,0.6555385933102114,0.7407614546332831,1.0837961358523425,0.8902457121902771,0.9978324110753212
2,1996,17665.720471432232,4.308346338483214,0.6798441273891849,0.6363776269792524,0.5705178354342829,0.6525779924673215,1.0455272989239044,0.806602843581856,0.9176671781962499
2,1998,19856.69840425532,4.217193017367033,0.6728809108510605,0.6161251664627665,0.5497750517819145,0.6069422172074397,1.0433668815691568,0.7851364775797884,0.894030086409553
2,2000,23307.251968503937,4.19490400767714,0.6752058496062969,0.6193166174915639,0.5101319603487054,0.5828427680821066,1.0489232478346435,0.7597414162823386,0.8744451021934561
2,2002,24408.330111306386,4.289829559695331,0.726789555096666,0.6174322101054457,0.5516192196543627,0.6026467075571117,1.0808630082600892,0.7774262608084344,0.9066904969244175
2,2004,25797.393457382954,4.423400753511355,0.7759214947779173,0.6678176558823518,0.6013351671368495,0.6479374569927925,1.1163097525810288,0.8090589476890685,0.9538797573829503
2,2006,26156.93102400486,4.573049096596736,0.8229056852628395,0.7192044062594979,0.6644204274384645,0.6957548785475532,1.157947186934058,0.8440443625645723,0.985089346824675
2,2008,26590.96245847176,4.705381712425235,0.8606765624252513,0.7445930199999986,0.7088782821594701,0.7404426944850565,1.1943420927574753,0.8855694464784025,1.0180557115282383
2,2010,25538.79547862946,4.908268131826211,0.928912133274458,0.8147955941363446,0.7638126769339428,0.811770957753451,1.2408611162840006,0.9332301362769257,1.0828474025079466
2,2012,26035.42686567164,5.0496573709701345,0.9914405617910382,0.8779385873507412,0.8027104858582031,0.8590328105223941,1.2900178442164152,0.968703967238797,1.122499739999993
2,2014,25944.102502017755,5.210481996690881,1.0398511636400287,0.9424848652138774,0.8563896281678748,0.9192436031073509,1.3432961639225125,1.0156290042372722,1.1783333908797313
2,2016,27154.727197688815,5.338875623813461,1.1381192915394125,0.9659016980189812,0.8719525817994143,0.9348532572843634,1.362102769376807,1.0165074170449793,1.183982614362356
3,1988,15726.7609375,3.4117699682421625,0.45369449535156664,0.48495479578124634,0.4501525908984309,0.46770343515624246,0.9400104239843738,0.6110493215234403,0.7612361932421832
3,1990,19371.02468183571,3.4593956485152395,0.4570100055148527,0.5902087696876238,0.43497015726956956,0.44287626313150064,0.9519688841496321,0.5858609922869285,0.7253860196683295
3,1992,21798.853141559426,3.589402350189263,0.5190211652536016,0.6022834202119609,0.4625637993186954,0.4738223465556363,0.9828848898940257,0.6267768484102936,0.744154306434513
